,pokemon1,pokemon2,pokemon3,url,rating
195,Hariyama1475,Toxicroak,Galvantula1474,https://pvpoke.com/team-builder/all/1500/hariyama-m-1-1-3%2Ctoxicroak-m-0-2-0%2Cgalvantula-m-1-4-0,806
196,Lapras1450,Hariyama1475,Toxicroak,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Chariyama-m-1-1-3%2Ctoxicroak-m-0-2-0,787
197,Toxicroak,Snorlax1488,Galvantula1474,https://pvpoke.com/team-builder/all/1500/toxicroak-m-0-2-0%2Csnorlax-m-0-4-0%2Cgalvantula-m-1-4-0,804
198,Lapras1450,Toxicroak,Snorlax1488,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Ctoxicroak-m-0-2-0%2Csnorlax-m-0-4-0,780
199,Lapras1450,Toxicroak,Galvantula1474,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Ctoxicroak-m-0-2-0%2Cgalvantula-m-1-4-0,782
200,Hariyama1475,alolan_raichu,GranbullCC,https://pvpoke.com/team-builder/all/1500/hariyama-m-1-1-3%2Craichu_alolan-m-0-3-0%2Cgranbull-m-0-1-0,807
201,Snorlax1488,alolan_raichu,GranbullCC,https://pvpoke.com/team-builder/all/1500/snorlax-m-0-4-0%2Craichu_alolan-m-0-3-0%2Cgranbull-m-0-1-0,827
202,Galvantula1474,alolan_raichu,GranbullCC,https://pvpoke.com/team-builder/all/1500/galvantula-m-1-4-0%2Craichu_alolan-m-0-3-0%2Cgranbull-m-0-1-0,822
203,Lapras1450,alolan_raichu,GranbullCC,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Craichu_alolan-m-0-3-0%2Cgranbull-m-0-1-0,809
204,Hariyama1475,Snorlax1488,alolan_raichu,https://pvpoke.com/team-builder/all/1500/hariyama-m-1-1-3%2Csnorlax-m-0-4-0%2Craichu_alolan-m-0-3-0,808
205,Hariyama1475,alolan_raichu,Galvantula1474,https://pvpoke.com/team-builder/all/1500/hariyama-m-1-1-3%2Craichu_alolan-m-0-3-0%2Cgalvantula-m-1-4-0,810
206,Lapras1450,Hariyama1475,alolan_raichu,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Chariyama-m-1-1-3%2Craichu_alolan-m-0-3-0,794
207,Snorlax1488,alolan_raichu,Galvantula1474,https://pvpoke.com/team-builder/all/1500/snorlax-m-0-4-0%2Craichu_alolan-m-0-3-0%2Cgalvantula-m-1-4-0,827
208,Lapras1450,Snorlax1488,alolan_raichu,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Csnorlax-m-0-4-0%2Craichu_alolan-m-0-3-0,815
209,Lapras1450,alolan_raichu,Galvantula1474,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Craichu_alolan-m-0-3-0%2Cgalvantula-m-1-4-0,810
210,Hariyama1475,Snorlax1488,GranbullCC,https://pvpoke.com/team-builder/all/1500/hariyama-m-1-1-3%2Csnorlax-m-0-4-0%2Cgranbull-m-0-1-0,808
211,Hariyama1475,Galvantula1474,GranbullCC,https://pvpoke.com/team-builder/all/1500/hariyama-m-1-1-3%2Cgalvantula-m-1-4-0%2Cgranbull-m-0-1-0,804
212,Lapras1450,Hariyama1475,GranbullCC,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Chariyama-m-1-1-3%2Cgranbull-m-0-1-0,787
213,Snorlax1488,Galvantula1474,GranbullCC,https://pvpoke.com/team-builder/all/1500/snorlax-m-0-4-0%2Cgalvantula-m-1-4-0%2Cgranbull-m-0-1-0,827
214,Lapras1450,Snorlax1488,GranbullCC,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Csnorlax-m-0-4-0%2Cgranbull-m-0-1-0,820
215,Lapras1450,Galvantula1474,GranbullCC,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Cgalvantula-m-1-4-0%2Cgranbull-m-0-1-0,809
216,Hariyama1475,Snorlax1488,Galvantula1474,https://pvpoke.com/team-builder/all/1500/hariyama-m-1-1-3%2Csnorlax-m-0-4-0%2Cgalvantula-m-1-4-0,806
217,Lapras1450,Hariyama1475,Snorlax1488,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Chariyama-m-1-1-3%2Csnorlax-m-0-4-0,791
218,Lapras1450,Hariyama1475,Galvantula1474,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Chariyama-m-1-1-3%2Cgalvantula-m-1-4-0,791
219,Lapras1450,Snorlax1488,Galvantula1474,https://pvpoke.com/team-builder/all/1500/lapras-m-0-6-0%2Csnorlax-m-0-4-0%2Cgalvantula-m-1-4-0,815
